ABCD | abcd
ABCD | abdc
ABCD | acbd
ABCD | acdb
ABCD | adbc
ABCD | adcb
ABCD | bacd
ABCD | badc
ABCD | bcad
ABCD | bcda
ABCD | bdac
ABCD | bdca
ABCD | cabd
ABCD | cadb
ABCD | cbad
ABCD | cbda
ABCD | cdab
ABCD | cdba
ABCD | dabc
ABCD | dacb
ABCD | dbac
ABCD | dbca
ABCD | dcab
ABCD | dcba
ABCa | Dbcd
ABCa | Dbdc
ABCa | Dcbd
ABCa | Dcdb
ABCa | Ddbc
ABCa | Ddcb
ABCa | bDcd
ABCa | bDdc
ABCa | bcDd
ABCa | bcdD
ABCa | bdDc
ABCa | bdcD
ABCa | cDbd
ABCa | cDdb
ABCa | cbDd
ABCa | cbdD
ABCa | cdDb
ABCa | cdbD
ABCa | dDbc
ABCa | dDcb
ABCa | dbDc
ABCa | dbcD
ABCa | dcDb
ABCa | dcbD
ABCb | Dacd
ABCb | Dadc
ABCb | Dcad
ABCb | Dcda
ABCb | Ddac
ABCb | Ddca
ABCb | aDcd
ABCb | aDdc
ABCb | acDd
ABCb | acdD
ABCb | adDc
ABCb | adcD
ABCb | cDad
ABCb | cDda
ABCb | caDd
ABCb | cadD
ABCb | cdDa
ABCb | cdaD
ABCb | dDac
ABCb | dDca
ABCb | daDc
ABCb | dacD
ABCb | dcDa
ABCb | dcaD
ABCc | Dabd
ABCc | Dadb
ABCc | Dbad
ABCc | Dbda
ABCc | Ddab
ABCc | Ddba
ABCc | aDbd
ABCc | aDdb
ABCc | abDd
ABCc | abdD
ABCc | adDb
ABCc | adbD
ABCc | bDad
ABCc | bDda
ABCc | baDd
ABCc | badD
ABCc | bdDa
ABCc | bdaD
ABCc | dDab
ABCc | dDba
ABCc | daDb
ABCc | dabD
ABCc | dbDa
ABCc | dbaD
ABCd | Dabc
ABCd | Dacb
ABCd | Dbac
ABCd | Dbca
ABCd | Dcab
ABCd | Dcba
ABCd | aDbc
ABCd | aDcb
ABCd | abDc
ABCd | abcD
ABCd | acDb
ABCd | acbD
ABCd | bDac
ABCd | bDca
ABCd | baDc
ABCd | bacD
ABCd | bcDa
ABCd | bcaD
ABCd | cDab
ABCd | cDba
ABCd | caDb
ABCd | cabD
ABCd | cbDa
ABCd | cbaD
ABDC | abcd
ABDC | abdc
ABDC | acbd
ABDC | acdb
ABDC | adbc
ABDC | adcb
ABDC | bacd
ABDC | badc
ABDC | bcad
ABDC | bcda
ABDC | bdac
ABDC | bdca
ABDC | cabd
ABDC | cadb
ABDC | cbad
ABDC | cbda
ABDC | cdab
ABDC | cdba
ABDC | dabc
ABDC | dacb
ABDC | dbac
ABDC | dbca
ABDC | dcab
ABDC | dcba
ABDa | Cbcd
ABDa | Cbdc
ABDa | Ccbd
ABDa | Ccdb
ABDa | Cdbc
ABDa | Cdcb
ABDa | bCcd
ABDa | bCdc
ABDa | bcCd
ABDa | bcdC
ABDa | bdCc
ABDa | bdcC
ABDa | cCbd
ABDa | cCdb
ABDa | cbCd
ABDa | cbdC
ABDa | cdCb
ABDa | cdbC
ABDa | dCbc
ABDa | dCcb
ABDa | dbCc
ABDa | dbcC
ABDa | dcCb
ABDa | dcbC
ABDb | Cacd
ABDb | Cadc
ABDb | Ccad
ABDb | Ccda
ABDb | Cdac
ABDb | Cdca
ABDb | aCcd
ABDb | aCdc
ABDb | acCd
ABDb | acdC
ABDb | adCc
ABDb | adcC
ABDb | cCad
ABDb | cCda
ABDb | caCd
ABDb | cadC
ABDb | cdCa
ABDb | cdaC
ABDb | dCac
ABDb | dCca
ABDb | daCc
ABDb | dacC
ABDb | dcCa
ABDb | dcaC
ABDc | Cabd
ABDc | Cadb
ABDc | Cbad
ABDc | Cbda
ABDc | Cdab
ABDc | Cdba
ABDc | aCbd
ABDc | aCdb
ABDc | abCd
ABDc | abdC
ABDc | adCb
ABDc | adbC
ABDc | bCad
ABDc | bCda
ABDc | baCd
ABDc | badC
ABDc | bdCa
ABDc | bdaC
ABDc | dCab
ABDc | dCba
ABDc | daCb
ABDc | dabC
ABDc | dbCa
ABDc | dbaC
ABDd | Cabc
ABDd | Cacb
ABDd | Cbac
ABDd | Cbca
ABDd | Ccab
ABDd | Ccba
ABDd | aCbc
ABDd | aCcb
ABDd | abCc
ABDd | abcC
ABDd | acCb
ABDd | acbC
ABDd | bCac
ABDd | bCca
ABDd | baCc
ABDd | bacC
ABDd | bcCa
ABDd | bcaC
ABDd | cCab
ABDd | cCba
ABDd | caCb
ABDd | cabC
ABDd | cbCa
ABDd | cbaC
ABaC | Dbcd
ABaC | Dbdc
ABaC | Dcbd
ABaC | Dcdb
ABaC | Ddbc
ABaC | Ddcb
ABaC | bDcd
ABaC | bDdc
ABaC | bcDd
ABaC | bcdD
ABaC | bdDc
ABaC | bdcD
ABaC | cDbd
ABaC | cDdb
ABaC | cbDd
ABaC | cbdD
ABaC | cdDb
ABaC | cdbD
ABaC | dDbc
ABaC | dDcb
ABaC | dbDc
ABaC | dbcD
ABaC | dcDb
ABaC | dcbD
ABaD | Cbcd
ABaD | Cbdc
ABaD | Ccbd
ABaD | Ccdb
ABaD | Cdbc
ABaD | Cdcb
ABaD | bCcd
ABaD | bCdc
ABaD | bcCd
ABaD | bcdC
ABaD | bdCc
ABaD | bdcC
ABaD | cCbd
ABaD | cCdb
ABaD | cbCd
ABaD | cbdC
ABaD | cdCb
ABaD | cdbC
ABaD | dCbc
ABaD | dCcb
ABaD | dbCc
ABaD | dbcC
ABaD | dcCb
ABaD | dcbC
ABab | CDcd
ABab | CDdc
ABab | CcDd
ABab | CcdD
ABab | CdDc
ABab | CdcD
ABab | DCcd
ABab | DCdc
ABab | DcCd
ABab | DcdC
ABab | DdCc
ABab | DdcC
ABab | cCDd
ABab | cCdD
ABab | cDCd
ABab | cDdC
ABab | cdCD
ABab | cdDC
ABab | dCDc
ABab | dCcD
ABab | dDCc
ABab | dDcC
ABab | dcCD
ABab | dcDC
ABac | CDbd
ABac | CDdb
ABac | CbDd
ABac | CbdD
ABac | CdDb
ABac | CdbD
ABac | DCbd
ABac | DCdb
ABac | DbCd
ABac | DbdC
ABac | DdCb
ABac | DdbC
ABac | bCDd
ABac | bCdD
ABac | bDCd
ABac | bDdC
ABac | bdCD
ABac | bdDC
ABac | dCDb
ABac | dCbD
ABac | dDCb
ABac | dDbC
ABac | dbCD
ABac | dbDC
ABad | CDbc
ABad | CDcb
ABad | CbDc
ABad | CbcD
ABad | CcDb
ABad | CcbD
ABad | DCbc
ABad | DCcb
ABad | DbCc
ABad | DbcC
ABad | DcCb
ABad | DcbC
ABad | bCDc
ABad | bCcD
ABad | bDCc
ABad | bDcC
ABad | bcCD
ABad | bcDC
ABad | cCDb
ABad | cCbD
ABad | cDCb
ABad | cDbC
ABad | cbCD
ABad | cbDC
ABbC | Dacd
ABbC | Dadc
ABbC | Dcad
ABbC | Dcda
ABbC | Ddac
ABbC | Ddca
ABbC | aDcd
ABbC | aDdc
ABbC | acDd
ABbC | acdD
ABbC | adDc
ABbC | adcD
ABbC | cDad
ABbC | cDda
ABbC | caDd
ABbC | cadD
ABbC | cdDa
ABbC | cdaD
ABbC | dDac
ABbC | dDca
ABbC | daDc
ABbC | dacD
ABbC | dcDa
ABbC | dcaD
ABbD | Cacd
ABbD | Cadc
ABbD | Ccad
ABbD | Ccda
ABbD | Cdac
ABbD | Cdca
ABbD | aCcd
ABbD | aCdc
ABbD | acCd
ABbD | acdC
ABbD | adCc
ABbD | adcC
ABbD | cCad
ABbD | cCda
ABbD | caCd
ABbD | cadC
ABbD | cdCa
ABbD | cdaC
ABbD | dCac
ABbD | dCca
ABbD | daCc
ABbD | dacC
ABbD | dcCa
ABbD | dcaC
ABba | CDcd
ABba | CDdc
ABba | CcDd
ABba | CcdD
ABba | CdDc
ABba | CdcD
ABba | DCcd
ABba | DCdc
ABba | DcCd
ABba | DcdC
ABba | DdCc
ABba | DdcC
ABba | cCDd
ABba | cCdD
ABba | cDCd
ABba | cDdC
ABba | cdCD
ABba | cdDC
ABba | dCDc
ABba | dCcD
ABba | dDCc
ABba | dDcC
ABba | dcCD
ABba | dcDC
ABbc | CDad
ABbc | CDda
ABbc | CaDd
ABbc | CadD
ABbc | CdDa
ABbc | CdaD
ABbc | DCad
ABbc | DCda
ABbc | DaCd
ABbc | DadC
ABbc | DdCa
ABbc | DdaC
ABbc | aCDd
ABbc | aCdD
ABbc | aDCd
ABbc | aDdC
ABbc | adCD
ABbc | adDC
ABbc | dCDa
ABbc | dCaD
ABbc | dDCa
ABbc | dDaC
ABbc | daCD
ABbc | daDC
ABbd | CDac
ABbd | CDca
ABbd | CaDc
ABbd | CacD
ABbd | CcDa
ABbd | CcaD
ABbd | DCac
ABbd | DCca
ABbd | DaCc
ABbd | DacC
ABbd | DcCa
ABbd | DcaC
ABbd | aCDc
ABbd | aCcD
ABbd | aDCc
ABbd | aDcC
ABbd | acCD
ABbd | acDC
ABbd | cCDa
